bus_id,lon,lat,v_nom,bus_pop_local_nb,unserved_count,unserved_frequency,n_storms
01AMBKLAO,120.741167,16.45857995,230,47259.168243169785,0,0.0,5
01ANGAT,121.0309764,14.92252853,230,282071.80629730225,0,0.0,5
01ANGSJO_TP2,121.1663025,14.90769283,115,389384.9829298258,0,0.0,5
01ANGSJO_TP4,121.1663025,14.90769283,115,0.0,0,0.0,5
01BAKUN,120.8238584,16.76351865,230,509258.30348336697,0,0.0,5
01BALINGUEO,120.4019109,15.95866114,230,2253672.399337769,0,0.0,5
01BALSIK,120.6505793,14.91353163,500,950802.152324438,1,0.2,5
01BAUANG,120.4118675,16.60818654,230,297481.18374061584,0,0.0,5
01BCCPP,120.5964345,14.54468633,230,28918.222611427307,0,0.0,5
01BCNOTAN,120.3687725,16.75977011,230,429175.73791885376,0,0.0,5
01BINGA,120.726877,16.38714954,230,90079.94793868063,0,0.0,5
01BNTAY,120.3913589,17.59532069,115,614141.965502739,0,0.0,5
01BOTOLAN,120.0119933,15.30045464,230,233101.58558785915,0,0.0,5
01BPC,121.3379149,14.39588336,230,108820.66070079803,3,0.6,5
01BPPC,120.3275107,16.49071487,230,497642.2132110596,0,0.0,5
01BURGOS,120.6490002,18.53398369,230,41382.63503527641,0,0.0,5
01BYOMBNG,121.1123331,16.47257449,230,597024.6035888493,0,0.0,5
01CASCNAN,121.2009157,15.84631117,230,326756.4689706117,0,0.0,5
01CAWAGO,120.2121254,14.83065685,230,130757.32956051826,2,0.4,5
01CAYANGA,120.2118331,15.92256893,230,308631.4992041588,0,0.0,5
01CBNTUAN,120.9429922,15.44081855,230,1967515.224138856,0,0.0,5
01CLARK,120.5153485,15.19327632,230,807482.2736565471,0,0.0,5
01CNCEPCN,120.6178226,15.37780441,230,1281104.420873642,0,0.0,5
01CURIMAO,120.5132268,18.00652176,115,359442.8478079438,0,0.0,5
01DUHAT,120.9531251,14.78699102,230,1204561.0351400375,0,0.0,5
01EHVNAGSAAG,120.6514578,16.06252858,230,744027.4828423262,0,0.0,5
01EHVSJOS,121.0483096,14.82162551,500,2393119.685787201,0,0.0,5
01GAMU,121.8191528,17.04803008,500,1240797.5389269292,0,0.0,5
01HERMOSA,120.7805211,14.96435658,230,380625.8412780762,0,0.0,5
01KDAMEHV,120.1659028,15.98001924,500,47658.53385782242,0,0.0,5
01LAMAO,120.6007292,14.52106789,230,61646.94368362427,0,0.0,5
01LAOAG,120.6056228,18.21468543,115,443039.47109657526,0,0.0,5
01LATRINI,120.6300619,16.43778525,230,830506.3956403732,0,0.0,5
01LBRADOR,120.1842921,16.02784474,230,267835.4151992798,0,0.0,5
01LIMAY,120.5972664,14.54573648,230,378591.6270208359,3,0.6,5
01MAGAT,121.4552882,16.82833887,230,346339.704595685,0,0.0,5
01MALOLOS,120.8239729,14.87270687,230,1010367.9193229676,1,0.2,5
01MARIVELES,120.5289764,14.45025238,500,196377.1063617468,0,0.0,5
01MEXICO,120.7158539,15.05488466,230,1215536.9559144974,0,0.0,5
01MPGC,120.4330891,14.44999501,230,95186.2697763443,0,0.0,5
01MSINLOC,119.9234709,15.56883079,230,311319.053976655,0,0.0,5
01OLONGAP,120.2716297,14.83717791,230,287264.2844336033,2,0.4,5
