storm_id,storm_name,year,grid_impact_index_v4b,grid_impact_index_v5r,rank_v4b,rank_v5r,rank_shift,abs_rank_shift
WP242013,NARI,2013,0.0,0.0,50.0,50.0,0.0,0.0
WP172013,USAGI,2013,0.0,0.0,50.0,50.0,0.0,0.0
WP182012,JELAWAT,2012,0.0,0.0,50.0,50.0,0.0,0.0
WP152012,TEMBIN,2012,0.0,0.0,50.0,50.0,0.0,0.0
WP142012,KAI-TAK,2012,0.0,0.0,50.0,50.0,0.0,0.0
WP102012,SAOLA,2012,0.0,0.0,50.0,50.0,0.0,0.0
WP052012,GUCHOL,2012,0.0,0.0,50.0,50.0,0.0,0.0
WP042012,MAWAR,2012,0.0,0.0,50.0,50.0,0.0,0.0
WP202011,NESAT,2011,0.0,0.0,50.0,50.0,0.0,0.0
WP252016,HAIMA,2016,0.0,0.0,50.0,50.0,0.0,0.0
WP292016,TOKAGE,2016,0.0,0.0,50.0,50.0,0.0,0.0
WP112017,NESAT,2017,0.0,0.0,50.0,50.0,0.0,0.0
WP022021,SURIGAE,2021,0.0,0.0,50.0,50.0,0.0,0.0
WP142023,KOINU,2023,0.0,0.0,50.0,50.0,0.0,0.0
WP102023,HAIKUI,2023,0.0,0.0,50.0,50.0,0.0,0.0
WP092023,SAOLA,2023,0.0,0.0,50.0,50.0,0.0,0.0
WP052023,DOKSURI,2023,0.0,0.0,50.0,50.0,0.0,0.0
WP022023,MAWAR,2023,0.0,0.0,50.0,50.0,0.0,0.0
WP262022,NALGAE,2022,0.0,0.0,50.0,50.0,0.0,0.0
WP232022,NESAT,2022,0.0,0.0,50.0,50.0,0.0,0.0
WP142022,MUIFA,2022,0.0,0.0,50.0,50.0,0.0,0.0
WP122022,HINNAMNOR,2022,0.0,0.0,50.0,50.0,0.0,0.0
WP192021,CHANTHU,2021,0.0,0.0,50.0,50.0,0.0,0.0
WP182021,CONSON,2021,0.0,0.0,50.0,50.0,0.0,0.0
WP212020,MOLAVE,2020,0.0,0.0,50.0,50.0,0.0,0.0
WP152017,HATO,2017,0.0,0.0,50.0,50.0,0.0,0.0
WP192020,SAUDEL,2020,0.0,0.0,50.0,50.0,0.0,0.0
WP012020,VONGFONG,2020,0.0,0.0,50.0,50.0,0.0,0.0
WP282019,FUNG-WONG,2019,0.0,0.0,50.0,50.0,0.0,0.0
WP272019,KALMAEGI,2019,0.0,0.0,50.0,50.0,0.0,0.0
WP252019,NAKRI,2019,0.0,0.0,50.0,50.0,0.0,0.0
WP212019,NEOGURI,2019,0.0,0.0,50.0,50.0,0.0,0.0
WP192019,MITAG,2019,0.0,0.0,50.0,50.0,0.0,0.0
WP152019,LINGLING,2019,0.0,0.0,50.0,50.0,0.0,0.0
WP312018,YUTU,2018,0.0,0.0,50.0,50.0,0.0,0.0
WP332017,TEMBIN,2017,0.0,0.0,50.0,50.0,0.0,0.0
WP242017,KHANUN,2017,0.0,0.0,50.0,50.0,0.0,0.0
WP142011,NANMADOL,2011,0.0,0.0,50.0,50.0,0.0,0.0
WP042011,SONGDA,2011,0.0,0.0,50.0,50.0,0.0,0.0
WP182000,BILIS,2000,0.0,0.0,50.0,50.0,0.0,0.0
WP162010,CHABA,2010,0.0,0.0,50.0,50.0,0.0,0.0
WP022005,ROKE,2005,0.0,0.0,50.0,50.0,0.0,0.0
WP302004,NANMADOL,2004,0.0,0.0,50.0,50.0,0.0,0.0
WP292004,MUIFA,2004,0.0,0.0,50.0,50.0,0.0,0.0
WP282004,NOCK-TEN,2004,0.0,0.0,50.0,50.0,0.0,0.0
WP102004,MINDULLE,2004,0.0,0.0,50.0,50.0,0.0,0.0
WP072004,CONSON,2004,0.0,0.0,50.0,50.0,0.0,0.0
WP042004,NIDA,2004,0.0,0.0,50.0,50.0,0.0,0.0
WP252003,NEPARTAK,2003,0.0,0.0,50.0,50.0,0.0,0.0
WP242003,MELOR,2003,0.0,0.0,50.0,50.0,0.0,0.0
WP142003,DUJUAN,2003,0.0,0.0,50.0,50.0,0.0,0.0
WP122003,KROVANH,2003,0.0,0.0,50.0,50.0,0.0,0.0
WP102003,MORAKOT,2003,0.0,0.0,50.0,50.0,0.0,0.0
WP092003,IMBUDO,2003,0.0,0.0,50.0,50.0,0.0,0.0
WP041983,WAYNE,1983,0.0,0.0,50.0,50.0,0.0,0.0
WP022003,KUJIRA,2003,0.0,0.0,50.0,50.0,0.0,0.0
WP072002,NOGURI,2002,0.0,0.0,50.0,50.0,0.0,0.0
WP272001,LINGLING,2001,0.0,0.0,50.0,50.0,0.0,0.0
WP232001,LEKIMA,2001,0.0,0.0,50.0,50.0,0.0,0.0
WP112001,TORAJI,2001,0.0,0.0,50.0,50.0,0.0,0.0
WP102001,YUTU,2001,0.0,0.0,50.0,50.0,0.0,0.0
WP062001,UTOR,2001,0.0,0.0,50.0,50.0,0.0,0.0
WP042001,CHEBI,2001,0.0,0.0,50.0,50.0,0.0,0.0
WP312000,BEBINCA,2000,0.0,0.0,50.0,50.0,0.0,0.0
WP302000,XANGSANE,2000,0.0,0.0,50.0,50.0,0.0,0.0
WP232000,WUKONG,2000,0.0,0.0,50.0,50.0,0.0,0.0
WP052005,HAITANG,2005,0.0,0.0,50.0,50.0,0.0,0.0
WP092005,MATSA,2005,0.0,0.0,50.0,50.0,0.0,0.0
WP242005,BOLAVEN,2005,0.0,0.0,50.0,50.0,0.0,0.0
WP132008,NURI,2008,0.0,0.0,50.0,50.0,0.0,0.0
WP032010,CONSON,2010,0.0,0.0,50.0,50.0,0.0,0.0
WP232009,MIRINAE,2009,0.0,0.0,50.0,50.0,0.0,0.0
WP222009,LUPIT,2009,0.0,0.0,50.0,50.0,0.0,0.0
WP192009,PARMA,2009,0.0,0.0,50.0,50.0,0.0,0.0
WP072009,MOLAVE,2009,0.0,0.0,50.0,50.0,0.0,0.0
WP032009,LINFA,2009,0.0,0.0,50.0,50.0,0.0,0.0
WP022009,CHAN-HOM,2009,0.0,0.0,50.0,50.0,0.0,0.0
WP012009,KUJIRA,2009,0.0,0.0,50.0,50.0,0.0,0.0
WP192008,JANGMI,2008,0.0,0.0,50.0,50.0,0.0,0.0
WP182008,HAGUPIT,2008,0.0,0.0,50.0,50.0,0.0,0.0
WP152008,SINLAKU,2008,0.0,0.0,50.0,50.0,0.0,0.0
WP092008,FUNG-WONG,2008,0.0,0.0,50.0,50.0,0.0,0.0
WP022006,CHANCHU,2006,0.0,0.0,50.0,50.0,0.0,0.0
WP052008,HALONG,2008,0.0,0.0,50.0,50.0,0.0,0.0
WP242007,MITAG,2007,0.0,0.0,50.0,50.0,0.0,0.0
WP212007,PEIPAH,2007,0.0,0.0,50.0,50.0,0.0,0.0
WP172007,KROSA,2007,0.0,0.0,50.0,50.0,0.0,0.0
WP092007,SEPAT,2007,0.0,0.0,50.0,50.0,0.0,0.0
WP072007,PABUK,2007,0.0,0.0,50.0,50.0,0.0,0.0
WP252006,UTOR,2006,0.0,0.0,50.0,50.0,0.0,0.0
WP232006,CHEBI,2006,0.0,0.0,50.0,50.0,0.0,0.0
WP142006,SHANSHAN,2006,0.0,0.0,50.0,50.0,0.0,0.0
WP062006,KAEMI,2006,0.0,0.0,50.0,50.0,0.0,0.0
WP042006,EWINIAR,2006,0.0,0.0,50.0,50.0,0.0,0.0
WP101983,ELLEN,1983,0.0,0.0,50.0,50.0,0.0,0.0
WP041982,PAT,1982,0.0,0.0,50.0,50.0,0.0,0.0
WP031983,VERA,1983,0.0,0.0,50.0,50.0,0.0,0.0
WP141956,GILDA,1956,0.0,0.0,50.0,50.0,0.0,0.0
WP071958,WINNIE,1958,0.0,0.0,50.0,50.0,0.0,0.0
WP191957,KIT,1957,0.0,0.0,50.0,50.0,0.0,0.0
WP141957,GLORIA,1957,0.0,0.0,50.0,50.0,0.0,0.0
WP131957,FAYE,1957,0.0,0.0,50.0,50.0,0.0,0.0
WP111957,CARMEN,1957,0.0,0.0,50.0,50.0,0.0,0.0
WP061957,WENDY,1957,0.0,0.0,50.0,50.0,0.0,0.0
WP051957,VIRGINIA,1957,0.0,0.0,50.0,50.0,0.0,0.0
WP031957,SHIRLEY,1957,0.0,0.0,50.0,50.0,0.0,0.0
WP231956,POLLY,1956,0.0,0.0,50.0,50.0,0.0,0.0
WP221956,NADINE,1956,0.0,0.0,50.0,50.0,0.0,0.0
WP211956,OLIVE,1956,0.0,0.0,50.0,50.0,0.0,0.0
WP191956,KAREN:LUCILLE,1956,0.0,0.0,50.0,50.0,0.0,0.0
WP131956,FREDA,1956,0.0,0.0,50.0,50.0,0.0,0.0
WP181958,LORNA,1958,0.0,0.0,50.0,50.0,0.0,0.0
WP111956,DINAH,1956,0.0,0.0,50.0,50.0,0.0,0.0
WP101956,CHARLOTTE,1956,0.0,0.0,50.0,50.0,0.0,0.0
WP091956,BABS,1956,0.0,0.0,50.0,50.0,0.0,0.0
WP031956,THELMA,1956,0.0,0.0,50.0,50.0,0.0,0.0
WP011956,SARAH,1956,0.0,0.0,50.0,50.0,0.0,0.0
WP211955,PATSY,1955,0.0,0.0,50.0,50.0,0.0,0.0
WP121955,IRIS,1955,0.0,0.0,50.0,50.0,0.0,0.0
WP011955,VIOLET,1955,0.0,0.0,50.0,50.0,0.0,0.0
WP191954,TILDA,1954,0.0,0.0,50.0,50.0,0.0,0.0
WP181954,SALLY,1954,0.0,0.0,50.0,50.0,0.0,0.0
WP171954,RUBY,1954,0.0,0.0,50.0,50.0,0.0,0.0
WP161954,PAMELA,1954,0.0,0.0,50.0,50.0,0.0,0.0
WP131958,GRACE,1958,0.0,0.0,50.0,50.0,0.0,0.0
WP051959,BILLIE,1959,0.0,0.0,50.0,50.0,0.0,0.0
WP261962,JEAN,1962,0.0,0.0,50.0,50.0,0.0,0.0
WP271960,PHYLLIS,1960,0.0,0.0,50.0,50.0,0.0,0.0
WP201962,DINAH,1962,0.0,0.0,50.0,50.0,0.0,0.0
