storm_id,storm_name,year,peak_t,peak_affected_population_proxy,peak_affected_population_share_proxy,peak_n_unserved_buses,peak_unserved_bus_share,peak_n_failed_lines_cumulative,peak_failed_line_share_cumulative,final_affected_population_proxy,final_n_unserved_buses,final_n_failed_lines_cumulative,n_timesteps,peak_affected_population_proxy_norm,peak_n_failed_lines_norm,peak_n_unserved_buses_norm,grid_impact_index_v5r_stoch,rank_index
WP241988,SKIP,1988,3,10733532.38601236,0.0694478383265978,12,0.0625,10,0.0423728813559322,10733532.38601236,12,10,8,0.2434782947612306,0.2040816326530612,0.3529411764705882,0.2500485614905919,28
WP222020,GONI,2020,7,11497227.778157592,0.0743890815461726,7,0.0364583333333333,12,0.0508474576271186,11497227.778157592,7,12,11,0.2608018789373818,0.2448979591836734,0.2058823529411764,0.2485879700995239,29
WP242006,DURIAN,2006,7,9064871.79017508,0.0586513114131756,6,0.03125,17,0.0720338983050847,9064871.79017508,6,17,13,0.2056265771906779,0.3469387755102041,0.1764705882352941,0.2365812284272519,30
WP051960,OLIVE,1960,9,11497227.778157592,0.0743890815461726,7,0.0364583333333333,9,0.0381355932203389,11497227.778157592,7,9,14,0.2608018789373818,0.1836734693877551,0.2058823529411764,0.2332818476505443,31
WP242015,KOPPU,2015,14,6250916.603286266,0.0404445274906697,5,0.0260416666666666,21,0.0889830508474576,6250916.603286266,5,21,18,0.141795120238905,0.4285714285714285,0.1470588235294117,0.2142787528156119,32
WP181952,TRIX,1952,7,9997372.447150111,0.064684754322375,7,0.0364583333333333,9,0.0381355932203389,8325644.457397938,5,9,12,0.2267793218472166,0.1836734693877551,0.2058823529411764,0.2128683133964452,33
WP201952,WILMA,1952,2,8527666.996075436,0.0551755021131986,9,0.046875,11,0.0466101694915254,8527666.996075436,9,11,8,0.1934406813922555,0.2244897959183673,0.2647058823529412,0.2118927401678863,34
WP262012,BOPHA,2012,8,5246079.847726166,0.0339430573282746,6,0.03125,21,0.0889830508474576,5246079.847726166,6,21,21,0.1190015112983842,0.4285714285714285,0.1764705882352941,0.2050143521571818,35
WP152010,MEGI,2010,19,6613849.457549453,0.0427927667542999,7,0.0364583333333333,16,0.0677966101694915,6613849.457549453,7,16,22,0.1500278500887709,0.3265306122448979,0.2058823529411764,0.2025317160556635,36
WP371993,NELL,1993,12,9329792.113461852,0.0603653923996946,7,0.0364583333333333,7,0.0296610169491525,9329792.113461852,7,7,13,0.2116360013244808,0.1428571428571428,0.2058823529411764,0.1935782394501506,37
