storm_id,storm_name,year,peak_t,peak_affected_population_proxy,peak_affected_population_share_proxy,peak_n_unserved_buses,peak_unserved_bus_share,peak_n_failed_lines_cumulative,peak_failed_line_share_cumulative,final_affected_population_proxy,final_n_unserved_buses,final_n_failed_lines_cumulative,n_timesteps,peak_affected_population_proxy_norm,peak_n_failed_lines_norm,peak_n_unserved_buses_norm,grid_impact_index_v4b,rank_index
WP171956,JEAN,1956,0,0.0,0.0,0,0.0,3,0.0127118644067796,0.0,0,3,12,0.0,0.073170731707317,0.0,0.0182926829268292,29
WP251987,PHYLLIS,1987,0,0.0,0.0,0,0.0,3,0.0127118644067796,0.0,0,3,14,0.0,0.073170731707317,0.0,0.0182926829268292,30
WP242015,KOPPU,2015,0,0.0,0.0,0,0.0,3,0.0127118644067796,0.0,0,3,18,0.0,0.073170731707317,0.0,0.0182926829268292,31
WP311967,EMMA,1967,0,0.0,0.0,0,0.0,3,0.0127118644067796,0.0,0,3,11,0.0,0.073170731707317,0.0,0.0182926829268292,32
WP041967,VIOLET,1967,0,0.0,0.0,0,0.0,2,0.0084745762711864,0.0,0,2,17,0.0,0.048780487804878,0.0,0.0121951219512195,33
WP211971,ROSE,1971,0,0.0,0.0,0,0.0,2,0.0084745762711864,0.0,0,2,10,0.0,0.048780487804878,0.0,0.0121951219512195,34
WP201995,SIBYL,1995,0,0.0,0.0,0,0.0,2,0.0084745762711864,0.0,0,2,12,0.0,0.048780487804878,0.0,0.0121951219512195,35
WP291967,CARLA,1967,0,0.0,0.0,0,0.0,2,0.0084745762711864,0.0,0,2,12,0.0,0.048780487804878,0.0,0.0121951219512195,36
WP222011,NALGAE,2011,0,0.0,0.0,0,0.0,2,0.0084745762711864,0.0,0,2,10,0.0,0.048780487804878,0.0,0.0121951219512195,37
WP181998,ZEB,1998,0,0.0,0.0,0,0.0,2,0.0084745762711864,0.0,0,2,11,0.0,0.048780487804878,0.0,0.0121951219512195,38
WP241952,DELLA,1952,0,0.0,0.0,0,0.0,2,0.0084745762711864,0.0,0,2,16,0.0,0.048780487804878,0.0,0.0121951219512195,39
WP261989,ANGELA,1989,0,0.0,0.0,0,0.0,1,0.0042372881355932,0.0,0,1,13,0.0,0.024390243902439,0.0,0.0060975609756097,40
WP061951,LOUISE,1951,0,0.0,0.0,0,0.0,1,0.0042372881355932,0.0,0,1,13,0.0,0.024390243902439,0.0,0.0060975609756097,41
WP361993,MANNY,1993,0,0.0,0.0,0,0.0,1,0.0042372881355932,0.0,0,1,13,0.0,0.024390243902439,0.0,0.0060975609756097,42
WP091987,BETTY,1987,0,0.0,0.0,0,0.0,1,0.0042372881355932,0.0,0,1,10,0.0,0.024390243902439,0.0,0.0060975609756097,43
WP302019,PHANFONE,2019,0,0.0,0.0,0,0.0,1,0.0042372881355932,0.0,0,1,16,0.0,0.024390243902439,0.0,0.0060975609756097,44
WP221959,GILDA,1959,0,0.0,0.0,0,0.0,1,0.0042372881355932,0.0,0,1,12,0.0,0.024390243902439,0.0,0.0060975609756097,45
WP131984,IKE,1984,0,0.0,0.0,0,0.0,1,0.0042372881355932,0.0,0,1,11,0.0,0.024390243902439,0.0,0.0060975609756097,46
WP072008,FENGSHEN,2008,0,0.0,0.0,0,0.0,1,0.0042372881355932,0.0,0,1,17,0.0,0.024390243902439,0.0,0.0060975609756097,47
WP271984,AGNES,1984,0,0.0,0.0,0,0.0,1,0.0042372881355932,0.0,0,1,7,0.0,0.024390243902439,0.0,0.0060975609756097,48
WP021982,NELSON,1982,0,0.0,0.0,0,0.0,1,0.0042372881355932,0.0,0,1,18,0.0,0.024390243902439,0.0,0.0060975609756097,49
WP241992,ANGELA,1992,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,19,0.0,0.0,0.0,0.0,50
WP261992,COLLEEN,1992,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,8,0.0,0.0,0.0,0.0,51
WP061993,KORYN,1993,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,9,0.0,0.0,0.0,0.0,52
WP161993,TASHA,1993,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,14,0.0,0.0,0.0,0.0,53
WP081994,TIM,1994,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,7,0.0,0.0,0.0,0.0,54
WP211993,ABE,1993,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,24,0.0,0.0,0.0,0.0,55
WP261993,FLO,1993,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,22,0.0,0.0,0.0,0.0,56
WP301993,IRA,1993,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,13,0.0,0.0,0.0,0.0,57
WP021994,OWEN,1994,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,24,0.0,0.0,0.0,0.0,58
WP371993,NELL,1993,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,13,0.0,0.0,0.0,0.0,59
WP351993,LOLA,1993,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,12,0.0,0.0,0.0,0.0,60
WP231992,YVETTE,1992,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,15,0.0,0.0,0.0,0.0,61
WP182000,BILIS,2000,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,5,0.0,0.0,0.0,0.0,62
WP261999,DAN,1999,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,18,0.0,0.0,0.0,0.0,63
WP161999,SAM,1999,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,12,0.0,0.0,0.0,0.0,64
WP061999,MAGGIE,1999,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,10,0.0,0.0,0.0,0.0,65
WP241998,FAITH,1998,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,7,0.0,0.0,0.0,0.0,66
WP111998,VICKI,1998,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,18,0.0,0.0,0.0,0.0,67
WP041998,OTTO,1998,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,11,0.0,0.0,0.0,0.0,68
WP271997,IVAN,1997,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,19,0.0,0.0,0.0,0.0,69
WP181997,AMBER,1997,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,12,0.0,0.0,0.0,0.0,70
WP121997,TINA,1997,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,5,0.0,0.0,0.0,0.0,71
WP321996,ABEL:BETH,1996,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,15,0.0,0.0,0.0,0.0,72
WP191995,RYAN,1995,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,5,0.0,0.0,0.0,0.0,73
WP261996,VIOLET,1996,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,10,0.0,0.0,0.0,0.0,74
WP231996,SALLY,1996,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,6,0.0,0.0,0.0,0.0,75
WP181996,NIKI,1996,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,9,0.0,0.0,0.0,0.0,76
WP091996,GLORIA,1996,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,15,0.0,0.0,0.0,0.0,77
WP041996,BART,1996,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,16,0.0,0.0,0.0,0.0,78
WP281995,ZACK,1995,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,10,0.0,0.0,0.0,0.0,79
WP121995,KENT,1995,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,18,0.0,0.0,0.0,0.0,80
WP061995,GARY,1995,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,19,0.0,0.0,0.0,0.0,81
WP381994,AXEL,1994,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,17,0.0,0.0,0.0,0.0,82
WP341994,TERESA,1994,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,13,0.0,0.0,0.0,0.0,83
WP321994,SETH,1994,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,6,0.0,0.0,0.0,0.0,84
WP171994,DOUG,1994,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,5,0.0,0.0,0.0,0.0,85
WP291996,ZANE,1996,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,5,0.0,0.0,0.0,0.0,86
WP041988,THAD,1988,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,9,0.0,0.0,0.0,0.0,87
WP021988,SUSAN,1988,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,16,0.0,0.0,0.0,0.0,88
WP011988,ROY,1988,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,9,0.0,0.0,0.0,0.0,89
WP211987,LYNN,1987,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,20,0.0,0.0,0.0,0.0,90
WP141987,GERALD,1987,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,23,0.0,0.0,0.0,0.0,91
WP111987,DINAH,1987,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,4,0.0,0.0,0.0,0.0,92
WP101987,CARY,1987,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,19,0.0,0.0,0.0,0.0,93
WP081987,ALEX,1987,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,7,0.0,0.0,0.0,0.0,94
WP061987,VERNON,1987,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,9,0.0,0.0,0.0,0.0,95
WP051987,THELMA,1987,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,7,0.0,0.0,0.0,0.0,96
WP271986,MARGE,1986,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,10,0.0,0.0,0.0,0.0,97
WP241986,JOE,1986,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,16,0.0,0.0,0.0,0.0,98
WP191986,ELLEN,1986,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,23,0.0,0.0,0.0,0.0,99
WP062000,KAI-TAK,2000,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,23,0.0,0.0,0.0,0.0,100
WP131986,WAYNE,1986,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,45,0.0,0.0,0.0,0.0,101
WP071986,PEGGY,1986,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,14,0.0,0.0,0.0,0.0,102
WP051986,NANCY,1986,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,6,0.0,0.0,0.0,0.0,103
WP271985,HOPE,1985,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,8,0.0,0.0,0.0,0.0,104
WP241985,FAYE,1985,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,27,0.0,0.0,0.0,0.0,105
WP211985,DOT,1985,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,11,0.0,0.0,0.0,0.0,106
WP201985,BRENDAN,1985,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,5,0.0,0.0,0.0,0.0,107
WP161985,TESS,1985,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,11,0.0,0.0,0.0,0.0,108
WP051985,HAL,1985,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,12,0.0,0.0,0.0,0.0,109
WP281984,BILL,1984,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,23,0.0,0.0,0.0,0.0,110
WP261984,WARREN,1984,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,18,0.0,0.0,0.0,0.0,111
WP031984,ALEX,1984,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,9,0.0,0.0,0.0,0.0,112
WP201983,ORCHID,1983,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,32,0.0,0.0,0.0,0.0,113
WP151986,ABBY,1986,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,7,0.0,0.0,0.0,0.0,114
WP191992,TED,1992,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,10,0.0,0.0,0.0,0.0,115
WP051992,ELI,1992,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,7,0.0,0.0,0.0,0.0,116
WP021992,BOBBIE,1992,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,9,0.0,0.0,0.0,0.0,117
WP261991,SETH,1991,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,18,0.0,0.0,0.0,0.0,118
WP251991,RUTH,1991,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,19,0.0,0.0,0.0,0.0,119
WP221991,NAT,1991,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,58,0.0,0.0,0.0,0.0,120
WP081991,BRENDAN,1991,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,13,0.0,0.0,0.0,0.0,121
WP071991,AMY,1991,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,6,0.0,0.0,0.0,0.0,122
WP051991,YUNYA,1991,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,21,0.0,0.0,0.0,0.0,123
WP041991,WALT,1991,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,10,0.0,0.0,0.0,0.0,124
WP291990,PAGE,1990,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,7,0.0,0.0,0.0,0.0,125
WP191990,ED,1990,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,8,0.0,0.0,0.0,0.0,126
WP171990,DOT,1990,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,3,0.0,0.0,0.0,0.0,127
WP061988,WARREN,1988,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,9,0.0,0.0,0.0,0.0,128
WP131990,YANCY,1990,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,5,0.0,0.0,0.0,0.0,129
WP071990,PERCY,1990,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,12,0.0,0.0,0.0,0.0,130
WP061990,OFELIA,1990,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,11,0.0,0.0,0.0,0.0,131
WP031990,MARIAN,1990,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,13,0.0,0.0,0.0,0.0,132
WP331989,HUNT,1989,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,23,0.0,0.0,0.0,0.0,133
WP301989,ELSIE,1989,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,12,0.0,0.0,0.0,0.0,134
WP291989,DAN,1989,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,6,0.0,0.0,0.0,0.0,135
WP221989,SARAH,1989,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,12,0.0,0.0,0.0,0.0,136
WP081989,GORDON,1989,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,10,0.0,0.0,0.0,0.0,137
WP031989,BRENDA,1989,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,14,0.0,0.0,0.0,0.0,138
WP231988,RUBY,1988,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,11,0.0,0.0,0.0,0.0,139
WP221988,PAT,1988,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,7,0.0,0.0,0.0,0.0,140
WP201988,NELSON,1988,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,8,0.0,0.0,0.0,0.0,141
WP161990,BECKY,1990,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,10,0.0,0.0,0.0,0.0,142
WP112017,NESAT,2017,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,11,0.0,0.0,0.0,0.0,143
WP292016,TOKAGE,2016,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,17,0.0,0.0,0.0,0.0,144
WP252016,HAIMA,2016,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,9,0.0,0.0,0.0,0.0,145
WP242016,SARIKA,2016,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,12,0.0,0.0,0.0,0.0,146
WP202016,MEGI,2016,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,3,0.0,0.0,0.0,0.0,147
WP182016,MALAKAS,2016,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,5,0.0,0.0,0.0,0.0,148
WP162016,MERANTI,2016,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,6,0.0,0.0,0.0,0.0,149
WP062016,NIDA,2016,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,15,0.0,0.0,0.0,0.0,150
WP022016,NEPARTAK,2016,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,5,0.0,0.0,0.0,0.0,151
WP282015,MELOR,2015,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,15,0.0,0.0,0.0,0.0,152
WP162015,GONI,2015,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,13,0.0,0.0,0.0,0.0,153
WP132015,SOUDELOR,2015,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,3,0.0,0.0,0.0,0.0,154
WP062015,NOUL,2015,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,12,0.0,0.0,0.0,0.0,155
WP092003,IMBUDO,2003,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,8,0.0,0.0,0.0,0.0,156
WP012015,MEKKHALA,2015,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,14,0.0,0.0,0.0,0.0,157
WP222014,HAGUPIT,2014,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,19,0.0,0.0,0.0,0.0,158
WP152014,KALMAEGI,2014,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,9,0.0,0.0,0.0,0.0,159
WP102014,MATMO,2014,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,7,0.0,0.0,0.0,0.0,160
WP292013,KROSA,2013,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,10,0.0,0.0,0.0,0.0,161
WP242013,NARI,2013,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,11,0.0,0.0,0.0,0.0,162
WP172013,USAGI,2013,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,12,0.0,0.0,0.0,0.0,163
WP182012,JELAWAT,2012,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,14,0.0,0.0,0.0,0.0,164
WP152012,TEMBIN,2012,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,24,0.0,0.0,0.0,0.0,165
WP142012,KAI-TAK,2012,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,11,0.0,0.0,0.0,0.0,166
WP102012,SAOLA,2012,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,17,0.0,0.0,0.0,0.0,167
WP052012,GUCHOL,2012,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,4,0.0,0.0,0.0,0.0,168
WP042012,MAWAR,2012,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,15,0.0,0.0,0.0,0.0,169
WP042015,MAYSAK,2015,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,7,0.0,0.0,0.0,0.0,170
WP251948,BEVERLY,1948,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,13,0.0,0.0,0.0,0.0,171
WP221948,RITA,1948,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,12,0.0,0.0,0.0,0.0,172
WP151948,JACKIE,1948,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,6,0.0,0.0,0.0,0.0,173
WP131948,HAZEL,1948,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,8,0.0,0.0,0.0,0.0,174
WP121948,GERTRUDE,1948,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,15,0.0,0.0,0.0,0.0,175
WP071948,ROSE,1948,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,11,0.0,0.0,0.0,0.0,176
WP061948,PEARL,1948,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,4,0.0,0.0,0.0,0.0,177
WP271947,JEAN,1947,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,11,0.0,0.0,0.0,0.0,178
WP231947,FLORA,1947,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,10,0.0,0.0,0.0,0.0,179
WP211947,DORA,1947,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,18,0.0,0.0,0.0,0.0,180
WP201947,CATHY,1947,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,13,0.0,0.0,0.0,0.0,181
WP161947,PAULINE,1947,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,12,0.0,0.0,0.0,0.0,182
WP141947,NANETTE,1947,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,4,0.0,0.0,0.0,0.0,183
WP152017,HATO,2017,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,10,0.0,0.0,0.0,0.0,184
WP012024,EWINIAR,2024,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,27,0.0,0.0,0.0,0.0,185
WP101945,QUEENIE,1945,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,9,0.0,0.0,0.0,0.0,186
WP142023,KOINU,2023,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,29,0.0,0.0,0.0,0.0,187
WP102023,HAIKUI,2023,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,4,0.0,0.0,0.0,0.0,188
WP092023,SAOLA,2023,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,67,0.0,0.0,0.0,0.0,189
WP052023,DOKSURI,2023,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,33,0.0,0.0,0.0,0.0,190
WP022023,MAWAR,2023,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,24,0.0,0.0,0.0,0.0,191
WP262022,NALGAE,2022,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,33,0.0,0.0,0.0,0.0,192
WP232022,NESAT,2022,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,21,0.0,0.0,0.0,0.0,193
WP142022,MUIFA,2022,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,10,0.0,0.0,0.0,0.0,194
WP122022,HINNAMNOR,2022,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,9,0.0,0.0,0.0,0.0,195
WP192021,CHANTHU,2021,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,11,0.0,0.0,0.0,0.0,196
WP182021,CONSON,2021,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,15,0.0,0.0,0.0,0.0,197
